,dailySwapVolumeSnapshots_volumeUSD,dailySwapVolumeSnapshots_datetime
453,7412.178155665626,2022-04-01
454,719274.260805224,2022-04-01
455,829.7231089194679,2022-04-01
456,35949.586115014834,2022-03-31
457,216.7110150814927,2022-03-31
458,48764.791461212146,2022-03-31
459,547175.8996329454,2022-03-31
460,559921.9096367969,2022-03-31
461,234098.877655,2022-03-31
462,0.0,2022-03-31
463,9809703.214743955,2022-03-31
464,11933834.99797634,2022-03-31
465,100.95402950019859,2022-03-31
466,7952.519027291278,2022-03-31
467,307247.20753157116,2022-03-31
468,145.73102109087185,2022-03-31
469,2.3502292829729186,2022-03-31
470,53221.92261138804,2022-03-30
471,1448.5786997767123,2022-03-30
472,77534.93798978404,2022-03-30
473,90891.30393378087,2022-03-30
474,257885.1669345972,2022-03-30
475,195290.39119,2022-03-30
476,6864107.1864187,2022-03-30
477,8539.468463600331,2022-03-30
478,5713.506632907076,2022-03-30
479,516188.2433623634,2022-03-30
480,374.72268464128604,2022-03-30
481,7.7126017374186935,2022-03-30
482,96263.4655010535,2022-03-29
483,1791.3848977774685,2022-03-29
484,45540.384089254185,2022-03-29
485,289965.3147458646,2022-03-29
486,491004.31446239515,2022-03-29
487,414368.027749,2022-03-29
488,0.0,2022-03-29
489,205.60139896548506,2022-03-29
490,5599917.250977298,2022-03-29
491,5646.216043220727,2022-03-29
492,753922.29559035,2022-03-29
493,8983.45763046878,2022-03-29
494,8.582983443211175,2022-03-29
495,37300.19185507944,2022-03-28
496,23119.192731839736,2022-03-28
497,64904.50395911906,2022-03-28
498,66397.25583993022,2022-03-28
499,338901.9971277799,2022-03-28
500,315851.7406475,2022-03-28
501,31.340161075468636,2022-03-28
502,5363693.938617616,2022-03-28
503,340.68692278839853,2022-03-28
504,5644.45621177514,2022-03-28
505,283529.4177588068,2022-03-28
506,3784.0867114294547,2022-03-28
507,3.4950116187610516,2022-03-28
508,21297.653603997875,2022-03-27
509,2464.940614819861,2022-03-27
510,27766.35829123198,2022-03-27
511,58806.989930700605,2022-03-27
512,33805.79071639323,2022-03-27
513,157675.72024,2022-03-27
514,52.39856661177578,2022-03-27
515,4417859.347349794,2022-03-27
516,342.0195582185168,2022-03-27
517,4667.483103254056,2022-03-27
518,115620.50473303921,2022-03-27
519,202.57724227685304,2022-03-27
520,33584.217374348715,2022-03-26
521,9980.80737842636,2022-03-26
522,37317.455732252776,2022-03-26
523,167797.66100501717,2022-03-26
524,30444.964958333618,2022-03-26
525,256534.8320735,2022-03-26
526,4076895.034446273,2022-03-26
527,1697.9060388952219,2022-03-26
528,197412.81953105453,2022-03-26
529,40.34567291848947,2022-03-26
530,55121.02793467415,2022-03-25
531,5874.444748639397,2022-03-25
532,7367.233013714914,2022-03-25
533,51383.45972272334,2022-03-25
534,233227.75397175297,2022-03-25
535,650575.964111,2022-03-25
536,238.20728890396373,2022-03-25
537,7800930.548470467,2022-03-25
538,5877.614130673222,2022-03-25
539,540695.3058354196,2022-03-25
540,0.18671750814022675,2022-03-25
541,30515.426436209,2022-03-24
542,22091.889765547952,2022-03-24
543,9461.611703691482,2022-03-24
544,385381.1704718868,2022-03-24
545,244288.85631630212,2022-03-24
546,235614.768901,2022-03-24
547,116.9915896305418,2022-03-24
548,8737529.769056927,2022-03-24
549,3152.0844778763644,2022-03-24
550,6718.897680513444,2022-03-24
551,699112.2858492763,2022-03-24
552,0.3307796966320707,2022-03-24
553,13.517397750691446,2022-03-24
554,40421.66037713391,2022-03-23
555,1119.3476367960332,2022-03-23
556,7772.201191614344,2022-03-23
557,7068.57925500346,2022-03-23
558,124897.91522354486,2022-03-23
559,95350.7568295,2022-03-23
560,0.0,2022-03-23
561,190.83064788314834,2022-03-23
562,20928396.46707405,2022-03-23
563,6170.425607584501,2022-03-23
564,120039.74932921762,2022-03-23
565,0.16841678478401959,2022-03-23
566,67.63677529294726,2022-03-23
567,48413.04062024231,2022-03-22
568,885.530714320471,2022-03-22
569,34737.27970313336,2022-03-22
570,103052.94861382441,2022-03-22
571,87130.71713181402,2022-03-22
572,56585.6723255,2022-03-22
573,10533640.561954612,2022-03-22
574,7.561299021438983,2022-03-22
575,9238.575537061213,2022-03-22
576,8553783.782990167,2022-03-22
577,107.18529459280514,2022-03-22
578,80.61383453461835,2022-03-22
579,44346.930893351244,2022-03-21
580,24969.88189136398,2022-03-21
581,12142.548023385296,2022-03-21
582,13100.45855133643,2022-03-21
583,11446.548772167285,2022-03-21
584,53072.0554425,2022-03-21
585,0.0,2022-03-21
586,697.4222703847079,2022-03-21
587,14495056.498538086,2022-03-21
588,7179.75755047794,2022-03-21
589,145967.1093846982,2022-03-21
590,0.2020752143546961,2022-03-21
591,19.270560587056938,2022-03-21
592,18703.207206424435,2022-03-20
593,9388.638302,2022-03-20
594,21818.389871070234,2022-03-20
595,58769.702740975845,2022-03-20
596,30935.432532134204,2022-03-20
597,78475.9187435,2022-03-20
598,14297301.682323825,2022-03-20
599,0.20689949522477274,2022-03-20
600,1527.6702345007445,2022-03-20
601,5023.013114503064,2022-03-20
602,562794.6979803266,2022-03-20
603,146.992928,2022-03-20
604,63.3813313822605,2022-03-20
605,27224.847412860803,2022-03-19
606,7002.155573532204,2022-03-19
607,24469.36078077414,2022-03-19
608,9441.280081750658,2022-03-19
609,76143.01152502991,2022-03-19
610,61593.913992,2022-03-19
